data_item_name,data_item_type,category
ureg,NETWORK_DATA,SAMPLE
signal_strength,NETWORK_DATA,SAMPLE
service_provider,NETWORK_DATA,EVENT
sim_status,NETWORK_DATA,EVENT
nwk_iface_type,NETWORK_DATA,EVENT
ppp_ip,NETWORK_DATA,EVENT
eth_ip,NETWORK_DATA,EVENT
data_usage,NETWORK_DATA,SAMPLE
reset_type,NETWORK_DATA,EVENT
pod1_session_id,NETWORK_DATA,EVENT
pod2_session_id,NETWORK_DATA,EVENT
pod3_session_id,NETWORK_DATA,EVENT
mac_address,DB_INFO,EVENT
mender_artifact_ver,DB_INFO,EVENT
rms_firmware_version,DB_INFO,EVENT
obc_firmware_version,DB_INFO,EVENT
gsm_modem_status,DB_INFO,EVENT
reset_cause,DB_INFO,EVENT
phase1_voltage,RMS_DATA,SAMPLE
phase2_voltage,RMS_DATA,SAMPLE
phase3_voltage,RMS_DATA,SAMPLE
phase1_power,RMS_DATA,SAMPLE
phase2_power,RMS_DATA,SAMPLE
phase3_power,RMS_DATA,SAMPLE
phase1_current,RMS_DATA,SAMPLE
phase2_current,RMS_DATA,SAMPLE
phase3_current,RMS_DATA,SAMPLE
frequency,RMS_DATA,SAMPLE
rms_uptime,RMS_DATA,SAMPLE
energy_consumed_in_24hours,RMS_DATA,SAMPLE
temp_sensor1,DB_DATA,SAMPLE
temp_sensor2,DB_DATA,SAMPLE
temp_sensor3,DB_DATA,SAMPLE
temp_sensor4,DB_DATA,SAMPLE
temp_sensor5,DB_DATA,SAMPLE
dc_voltage,DB_DATA,SAMPLE
dc_current,DB_DATA,SAMPLE
db_error_code,DB_DATA,EVENT
cpu_temperature,DB_DATA,SAMPLE
pod1_charging_state,DB_DATA,EVENT
db_fan_state,DB_DATA,EVENT
obc_mode,DB_DATA,EVENT
is_rms_live,DB_DATA,EVENT
earth_state,DB_DATA,EVENT
system_uptime,DB_DATA,SAMPLE
load_avarage,DB_DATA,EVENT
cpu_usage,DB_DATA,SAMPLE
ram_usage,DB_DATA,SAMPLE
pod1_session_id,DB_DATA,EVENT
POD_Uptime,DB_DATA,SAMPLE
phase1_error,DB_DATA,EVENT
is_pod1_live,DB_DATA,EVENT
is_obc_live,DB_DATA,EVENT
pod1_id,POD_INFO,EVENT
pod1_firmware_version,POD_INFO,EVENT
pod1_hardware_version,POD_INFO,EVENT
POD_AC_Voltage,CAN,SAMPLE
POD_AC_Current,CAN,SAMPLE
POD_DpmStatus,CAN,EVENT
POD_AtherStatus,CAN,EVENT
POD_FastStatus,CAN,EVENT
POD_IrStatus,CAN,EVENT
POD_AC_OverVoltageFault,CAN,EVENT
POD_DC_Voltage,CAN,SAMPLE
POD_InternalTemp,CAN,SAMPLE
POD_CP_Volts,CAN,SAMPLE
POD_UserLedColour,CAN,EVENT
POD_ResponseReason,CAN,EVENT
session,SESSION,EVENT
